City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port alfred,-33.5906,26.891,13.99,91,73,1.67,ZA,1689613730
1,blackmans bay,-43.0167,147.3167,11.07,67,50,4.49,AU,1689613570
2,alaghsas,17.0187,8.0168,40.97,8,11,2.14,NE,1689613849
3,sisimiut,66.9395,-53.6735,6.07,99,100,1.04,GL,1689613664
4,nova sintra,14.8667,-24.7167,22.51,80,40,7.38,CV,1689613609
5,port-aux-francais,-49.35,70.2167,5.96,97,100,16.56,TF,1689613577
6,kavaratti,10.5669,72.642,28.21,80,90,7.77,IN,1689613850
7,san antonio de pale,-1.4014,5.6325,23.44,79,48,5.15,GQ,1689613703
8,sitka,57.0531,-135.33,12.94,88,75,1.54,US,1689613732
9,invercargill,-46.4,168.35,10.52,90,100,7.96,NZ,1689613704
10,waitangi,-43.9535,-176.5597,9.9,89,42,2.24,NZ,1689613571
11,whangarei,-35.7317,174.3239,8.98,98,29,1.51,NZ,1689613851
12,onguday,50.75,86.15,12.76,91,9,0.78,RU,1689613851
13,grytviken,-54.2811,-36.5092,-4.72,86,100,2.33,GS,1689613576
14,tiksi,71.6872,128.8694,10.43,63,99,6.43,RU,1689613593
15,bubaque,11.2833,-15.8333,25.91,87,100,6.27,GW,1689613852
16,longyearbyen,78.2186,15.6401,8.91,57,20,8.75,SJ,1689613593
17,umm ruwaba,12.9061,31.2158,36.69,26,10,2.86,SD,1689613852
18,aykhal,66.0,111.5,7.39,97,100,4.63,RU,1689613308
19,ust-nera,64.5667,143.2,8.66,63,15,1.72,RU,1689613642
20,snyderville,40.6944,-111.5438,33.25,27,97,0.45,US,1689613853
21,bredasdorp,-34.5322,20.0403,13.7,93,79,2.33,ZA,1689613598
22,puerto natales,-51.7236,-72.4875,6.25,52,20,3.6,CL,1689613404
23,howard springs,-12.497,131.047,21.95,46,69,2.54,AU,1689613854
24,trier,49.7557,6.6394,24.97,33,70,6.08,DE,1689613854
25,ilulissat,69.2167,-51.1,6.01,100,75,2.57,GL,1689613583
26,jodhpur,26.2867,73.03,31.74,57,100,7.28,IN,1689613854
27,lebu,-37.6167,-73.65,10.19,56,100,2.16,CL,1689613653
28,shenjiamen,29.9576,122.298,25.97,95,86,4.24,CN,1689613855
29,badger,64.8,-147.5333,18.33,75,40,1.34,US,1689613728
30,san patricio,28.017,-97.5169,35.6,36,11,3.92,US,1689613724
31,taitung city,22.7583,121.1444,27.2,79,100,1.86,TW,1689613856
32,san julian,21.0167,-102.1667,22.49,44,2,2.74,MX,1689613280
33,kapa'a,22.0752,-159.319,27.18,78,40,5.66,US,1689613556
34,edinburgh of the seven seas,-37.0676,-12.3116,13.09,65,11,3.35,SH,1689613598
35,beau vallon,-20.4189,57.6953,22.13,88,75,6.69,MU,1689613857
36,tsiombe,-25.3,45.4833,18.92,79,5,2.26,MG,1689613646
37,carutapera,-1.195,-46.02,29.89,61,7,4.93,BR,1689613781
38,jalalaqsi,3.3766,45.5996,25.18,72,10,9.94,SO,1689613857
39,pizarro,4.9533,-77.366,29.06,73,91,2.43,CO,1689613857
40,wailua homesteads,22.0669,-159.378,26.44,80,40,5.66,US,1689613728
41,katsuura,35.1333,140.3,24.71,88,1,1.41,JP,1689613678
42,luderitz,-26.6481,15.1594,20.35,40,0,2.25,NA,1689613627
43,albany,42.6001,-73.9662,29.41,66,55,0.89,US,1689613284
44,lompoc,34.6391,-120.4579,27.05,73,81,1.34,US,1689613609
45,fort mcmurray,56.7268,-111.381,19.57,54,100,3.22,CA,1689613800
46,hermanus,-34.4187,19.2345,13.78,92,63,3.46,ZA,1689613579
47,naze,28.3667,129.4833,27.51,86,91,6.05,JP,1689613583
48,peniche,39.3558,-9.3811,25.72,76,1,7.32,PT,1689613859
49,quellon,-43.1167,-73.6167,6.14,70,0,2.06,CL,1689613859
50,iqaluit,63.7506,-68.5145,5.85,100,100,5.66,CA,1689613575
51,bangassou,4.7413,22.8184,24.94,71,71,0.72,CF,1689613339
52,morteros,-30.7116,-61.9986,12.23,39,0,3.05,AR,1689613860
53,la passe,45.5549,-0.8967,27.23,47,1,4.74,FR,1689613860
